iter	Passed	Remaining
0	4	2352
1	8	2124
2	13	2215
3	18	2242
4	23	2302
5	28	2346
6	33	2347
7	37	2327
8	40	2196
9	45	2210
10	49	2214
11	54	2215
12	59	2220
13	62	2154
14	66	2161
15	71	2167
16	76	2175
17	81	2178
18	86	2179
19	90	2183
20	95	2181
21	100	2182
22	105	2181
23	109	2179
24	114	2176
25	119	2177
26	124	2175
27	128	2173
28	133	2173
29	138	2175
30	143	2174
31	148	2172
32	153	2171
33	158	2168
34	162	2163
35	167	2161
36	172	2158
37	177	2156
38	182	2152
39	186	2148
40	189	2121
41	194	2117
42	199	2119
43	204	2115
44	208	2112
45	213	2110
46	216	2082
47	220	2078
48	225	2074
49	230	2075
50	235	2073
51	240	2069
52	243	2049
53	247	2045
54	252	2042
55	254	2019
56	259	2017
57	264	2015
58	267	2000
59	270	1984
60	275	1981
61	280	1979
62	285	1977
63	289	1974
64	294	1970
65	298	1960
66	302	1956
67	307	1952
68	311	1948
69	316	1945
70	321	1944
71	326	1942
72	331	1937
73	336	1934
74	341	1932
75	345	1927
76	350	1925
77	355	1922
78	358	1910
79	360	1890
80	362	1874
81	367	1871
82	372	1869
83	374	1856
84	379	1853
85	384	1850
86	389	1847
87	393	1843
88	398	1840
89	403	1837
90	408	1834
91	413	1832
92	418	1829
93	422	1826
94	427	1823
95	432	1819
96	437	1816
97	441	1812
98	446	1809
99	451	1806
100	454	1794
101	458	1790
102	464	1789
103	469	1786
104	474	1783
105	478	1779
106	483	1776
107	488	1772
108	493	1771
109	499	1770
110	504	1767
111	509	1764
112	511	1751
113	516	1747
114	520	1743
115	525	1739
116	530	1736
117	535	1732
118	540	1729
119	544	1725
120	549	1721
121	554	1718
122	559	1714
123	563	1707
124	568	1705
125	573	1703
126	578	1699
127	583	1695
128	588	1691
129	592	1686
130	597	1682
131	602	1679
132	607	1675
133	612	1672
134	617	1668
135	621	1664
136	625	1657
137	630	1652
138	633	1644
139	637	1639
140	642	1635
141	647	1631
142	651	1627
143	656	1623
144	661	1619
145	666	1615
146	670	1610
147	673	1602
148	678	1598
149	683	1594
150	688	1590
151	692	1586
152	697	1582
153	702	1578
154	706	1572
155	711	1568
156	715	1563
157	720	1559
158	725	1555
159	729	1550
160	734	1546
161	739	1542
162	743	1536
163	747	1531
164	752	1527
165	757	1523
166	761	1518
167	766	1514
168	771	1510
169	775	1506
170	780	1501
171	785	1497
172	790	1493
173	795	1489
174	799	1485
175	804	1481
176	809	1478
177	814	1473
178	819	1469
179	824	1465
180	829	1461
181	834	1457
182	838	1453
183	843	1449
184	848	1444
185	853	1440
186	858	1437
187	863	1433
188	868	1429
189	873	1425
190	878	1421
191	883	1417
192	888	1413
193	893	1409
194	899	1406
195	903	1402
196	908	1397
197	913	1393
198	918	1389
199	923	1385
200	928	1380
201	933	1376
202	938	1372
203	941	1366
204	945	1359
205	950	1356
206	955	1352
207	960	1348
208	965	1344
209	970	1340
210	974	1335
211	980	1331
212	984	1326
213	989	1322
214	995	1319
215	1000	1314
216	1004	1310
217	1010	1306
